run,metric,mean,std,ci_lower,ci_upper,n_folds
E2-grid-conv1d-w240-tb4-cusum3-nometa,val_accuracy,0.5245052922969327,0.025252638695138406,0.493149999969532,0.5558605846243333,5.0
E2-grid-conv1d-w240-tb4-cusum3-nometa,test_f1_macro,0.4389779959397234,0.030614730758707864,0.40096478694193444,0.4769912049375124,5.0
E2-grid-conv1d-w240-tb4-cusum3-nometa,test_accuracy,0.4843155548774183,0.045049808232106296,0.42837882986962833,0.5402522798852082,5.0
E2-grid-conv1d-w240-tb4-cusum3-nometa,test_true_side_class_0_pct,0.4834298755215724,0.050563393615564015,0.4206471300421205,0.5462126210010243,5.0
E2-grid-conv1d-w240-tb4-cusum3-nometa,test_true_side_class_1_pct,0.5165701244784275,0.050563393615564015,0.45378737899897564,0.5793528699578794,5.0
E2-grid-conv1d-w240-tb4-cusum3-nometa,test_pred_side_class_0_pct,0.31359932281491865,0.24829385180820623,0.005301786049328405,0.6218968595805089,5.0
E2-grid-conv1d-w240-tb4-cusum3-nometa,test_pred_side_class_1_pct,0.6864006771850814,0.2482938518082063,0.378103140419491,0.9946982139506717,5.0
E2-grid-conv1d-w240-tb6-cusum1-nometa,val_f1_macro,0.4996331409951102,0.02863911142212773,0.464072987401708,0.5351932945885124,5.0
E2-grid-conv1d-w240-tb6-cusum1-nometa,val_accuracy,0.539776965985447,0.05983957359909971,0.4654763217795804,0.6140776101913136,5.0
E2-grid-conv1d-w240-tb6-cusum1-nometa,test_f1_macro,0.4479057127776168,0.05646450850359844,0.3777957653924283,0.5180156601628053,5.0
E2-grid-conv1d-w240-tb6-cusum1-nometa,test_accuracy,0.46993986109659713,0.08360169291422441,0.36613464881611796,0.5737450733770764,5.0
E2-grid-conv1d-w240-tb6-cusum1-nometa,test_true_side_class_0_pct,0.4510303944275931,0.07945564200396187,0.35237318429710685,0.5496876045580793,5.0
E2-grid-conv1d-w240-tb6-cusum1-nometa,test_true_side_class_1_pct,0.5489696055724069,0.07945564200396181,0.45031239544192075,0.647626815702893,5.0
E2-grid-conv1d-w240-tb6-cusum1-nometa,test_pred_side_class_0_pct,0.4408012938509742,0.14149048509960155,0.2651176524144129,0.6164849352875356,5.0
E2-grid-conv1d-w240-tb6-cusum1-nometa,test_pred_side_class_1_pct,0.5591987061490257,0.14149048509960155,0.3835150647124643,0.734882347585587,5.0
E2-grid-conv1d-w240-tb6-cusum2-nometa,val_f1_macro,0.47514173447163016,0.12037559071037769,0.3256756972240427,0.6246077717192176,5.0
E2-grid-conv1d-w240-tb6-cusum2-nometa,val_accuracy,0.5177009762571336,0.09171472949535875,0.4038220985377498,0.6315798539765175,5.0
E2-grid-conv1d-w240-tb6-cusum2-nometa,test_f1_macro,0.40921087536406453,0.07492038191259356,0.3161849344115206,0.5022368163166084,5.0
E2-grid-conv1d-w240-tb6-cusum2-nometa,test_accuracy,0.5430450521598273,0.06962185679814992,0.4565980990854666,0.6294920052341881,5.0
E2-grid-conv1d-w240-tb6-cusum2-nometa,test_true_side_class_0_pct,0.448539726669793,0.07735334629725281,0.3524928614319058,0.5445865919076803,5.0
E2-grid-conv1d-w240-tb6-cusum2-nometa,test_true_side_class_1_pct,0.551460273330207,0.07735334629725278,0.4554134080923198,0.6475071385680942,5.0
E2-grid-conv1d-w240-tb6-cusum2-nometa,test_pred_side_class_0_pct,0.49918265687886165,0.4627635357371758,-0.07541416512747057,1.0737794788851938,5.0
E2-grid-conv1d-w240-tb6-cusum2-nometa,test_pred_side_class_1_pct,0.5008173431211382,0.46276353573717577,-0.07377947888519387,1.0754141651274702,5.0
E2-grid-conv1d-w240-tb6-cusum3-nometa,val_f1_macro,0.4827114988283684,0.04442862105713762,0.42754607957188295,0.5378769180848538,5.0
E2-grid-conv1d-w240-tb6-cusum3-nometa,val_accuracy,0.5173138639928074,0.022579897093512095,0.48927721868864765,0.5453505092969673,5.0
E2-grid-conv1d-w240-tb6-cusum3-nometa,test_f1_macro,0.5278864571779927,0.051293294815096355,0.4641974196568357,0.5915754946991496,5.0
E2-grid-conv1d-w240-tb6-cusum3-nometa,test_accuracy,0.5505452560207811,0.035213766712027986,0.5068215896533098,0.5942689223882524,5.0
E2-grid-conv1d-w240-tb6-cusum3-nometa,test_true_side_class_0_pct,0.38661547886358344,0.0994928820833635,0.26307874910313866,0.5101522086240282,5.0
E2-grid-conv1d-w240-tb6-cusum3-nometa,test_true_side_class_1_pct,0.6133845211364165,0.09949288208336349,0.48984779137597173,0.7369212508968612,5.0
E2-grid-conv1d-w240-tb6-cusum3-nometa,test_pred_side_class_0_pct,0.44009188444628944,0.15284717759175626,0.25030704680354854,0.6298767220890303,5.0
E2-grid-conv1d-w240-tb6-cusum3-nometa,test_pred_side_class_1_pct,0.5599081155537106,0.15284717759175626,0.37012327791096966,0.7496929531964515,5.0
